,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
30,500.0,2,102032,1127,37,18.4,9,57.86,55.73,53.28,9
31,500.0,2,123440,1392,67,4.4,8,57.68,55.71,54.8,4
32,500.0,2,160773,2216,40,38.8,2,57.64,54.93,53.44,7
33,500.0,2,122587,6363,81,1.7,3,58.97,56.54,55.51,1
34,500.0,2,137099,94,73,2.8,7,58.25,55.83,55.13,3
35,850.0,4,1811,531,105,9.0,7,53.96,53.47,54.58,3
36,850.0,4,502,1257,94,2.6,8,53.1,53.44,54.03,10
37,850.0,4,102032,946429,100,11.0,5,51.92,52.51,54.32,8
38,850.0,5,74725,38601,102,13.2,6,54.32,53.73,54.45,6
39,850.0,7,123440,954913,100,16.7,9,53.43,53.26,54.32,9
40,850.0,6,122644,3462,100,35.6,11,52.08,52.6,54.33,7
41,850.0,6,152588,198551,102,8.4,4,52.58,53.0,54.47,5
42,850.0,4,137099,272417,106,2.7,10,53.6,53.72,54.64,2
43,850.0,4,114312,277836,104,18.3,1,52.91,53.02,54.54,4
44,850.0,4,153873,3462,85,31.0,12,53.07,53.46,53.62,12
45,850.0,4,122587,6363,107,9.0,3,54.29,53.64,54.68,1
46,850.0,5,3752,218233,86,49.9,2,53.93,53.43,53.64,11
47,800.0,3,1770,835,105,1.3,3,57.28,55.67,53.61,1
48,800.0,4,160005,240902,82,22.3,1,57.84,55.92,52.5,7
49,800.0,5,16787,1257,102,7.2,5,57.67,55.84,53.49,3
50,800.0,4,113484,277836,95,3.9,7,57.11,55.31,53.12,4
51,800.0,4,102032,6363,64,12.7,6,57.32,55.58,51.64,8
52,800.0,5,137099,9629,84,11.2,8,56.2,55.33,52.61,6
53,800.0,5,74725,531,102,7.3,2,56.55,55.23,53.5,2
54,800.0,4,1452,83,94,7.4,4,57.07,55.41,53.11,5
55,500.0,2,142413,6363,41,33.3,6,58.87,57.3,54.57,8
56,500.0,2,137099,272182,69,5.9,2,59.05,57.51,56.07,3
57,500.0,2,102369,277836,55,26.2,7,58.32,57.03,55.33,7
58,500.0,2,99161,963516,37,10.6,3,59.45,57.49,54.41,9
59,500.0,2,3752,1710,17,41.1,8,57.6,56.24,53.37,10
60,500.0,2,162748,1257,60,12.3,9,57.56,56.51,55.58,5
61,500.0,2,152588,835,88,0.7,4,58.69,57.31,57.03,1
62,500.0,2,121108,240902,63,48.3,1,59.81,57.86,55.75,4
63,500.0,2,122587,6363,59,5.8,10,57.96,56.94,55.51,6
64,500.0,2,1339,94,85,27.4,5,59.41,57.68,56.85,2
65,800.0,3,1811,6363,103,7.5,4,54.71,54.94,55.09,6
66,800.0,3,137099,1257,103,2.7,6,56.11,55.48,55.08,7
67,800.0,3,123440,624,99,36.8,8,52.93,54.08,54.89,9
68,800.0,3,3752,199159,98,7.1,5,54.32,54.5,54.87,10
69,800.0,3,1339,94,105,6.6,11,53.97,54.52,55.21,4
70,800.0,3,122587,6363,95,49.0,10,56.32,55.74,54.71,14
71,800.0,3,160005,261904,108,11.4,2,55.76,55.3,55.36,1
72,800.0,3,122644,1710,98,30.0,14,53.45,54.25,54.86,12
73,800.0,3,74725,1626,104,11.9,13,55.23,55.13,55.17,5
74,800.0,3,135108,298,106,4.8,7,57.72,55.91,55.25,3
75,800.0,3,113484,277836,100,29.7,3,54.88,54.96,54.94,8
76,800.0,3,502,835,107,11.0,12,56.14,55.57,55.3,2
77,800.0,3,153873,2208,98,80.1,1,55.41,55.32,54.87,11
78,800.0,3,114312,38601,96,80.6,9,54.36,54.69,54.75,13
79,800.0,4,1811,240902,35,27.4,9,56.29,55.19,50.18,9
80,800.0,3,153873,9629,65,16.9,7,57.03,55.45,51.63,7
81,800.0,4,137099,218233,78,5.7,8,56.65,55.36,52.3,4
82,800.0,4,122644,830,15,30.4,10,56.12,54.77,49.22,10
83,800.0,4,74725,3794,86,6.4,4,56.82,55.47,52.64,3
84,800.0,4,163211,252990,96,2.2,5,56.86,55.74,53.15,1
85,800.0,4,160005,804,70,36.5,3,57.77,55.48,51.9,6
86,800.0,4,3752,1257,95,3.5,1,57.07,55.75,53.11,2
87,800.0,3,102032,6363,78,12.2,2,57.59,55.57,52.26,5
88,800.0,5,1452,199159,56,5.7,6,57.95,55.84,51.21,8
89,850.0,3,117931,272182,102,14.1,7,52.87,53.94,54.43,1
90,850.0,4,122644,830,91,44.9,6,53.93,53.96,53.86,8
91,850.0,3,74725,3462,100,3.6,10,53.96,54.22,54.32,2
92,850.0,3,152588,137497,83,27.7,2,53.9,54.21,53.5,11
93,850.0,3,137099,1150,98,3.0,3,54.46,54.24,54.21,5
94,850.0,4,16787,252990,94,7.9,12,51.54,52.38,54.04,6
95,850.0,3,502,15262,99,8.1,1,54.79,54.49,54.27,4
96,850.0,3,160005,1150,88,24.4,5,54.63,54.41,53.74,9
97,850.0,4,1811,1162,93,14.0,11,52.04,52.71,53.98,7
98,850.0,3,163211,835,78,18.2,4,53.57,53.61,53.24,12
99,850.0,4,102032,83,99,3.8,8,52.9,53.28,54.28,3
100,850.0,3,132248,233841,87,92.3,9,52.54,52.95,53.67,10
